BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
F000462,HON. LOIS FRANKEL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,3/8/2017,3/8/2017,FOOD & BEVERAGE,44.42,2017,BOISE CASCADE COMPANY
F000462,HON. LOIS FRANKEL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/16/2017,2/16/2017,FOOD & BEVERAGE,58.44,2017,BOISE CASCADE COMPANY
F000462,HON. LOIS FRANKEL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/3/2017,AP,E0474875,CEASAR JENNY,12/19/2016,12/19/2016,FOOD & BEVERAGE,30.99,2016,CEASAR JENNY
F000462,HON. LOIS FRANKEL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/10/2017,AP,E0474880,REGAN CAHTERINE C.,12/18/2016,12/18/2016,FOOD & BEVERAGE,24.36,2016,REGAN CAHTERINE C.
F000462,HON. LOIS FRANKEL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/26/2017,AP,E0474877,MORAN KELSEY M.,12/16/2016,12/16/2016,FOOD & BEVERAGE,32.62,2016,MORAN KELSEY M.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478469,HAYES JONATHAN H.,1/5/2017,1/5/2017,FOOD & BEVERAGE,127.55,2017,HAYES JONATHAN H.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,1/5/2017,1/5/2017,FOOD & BEVERAGE,40.15,2017,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,1/12/2017,1/12/2017,FOOD & BEVERAGE,25.47,2017,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/13/2017,1/13/2017,FOOD & BEVERAGE,114.61,2017,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/30/2017,1/30/2017,FOOD & BEVERAGE,84.38,2017,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906777,BOISE CASCADE COMPANY,2/1/2017,2/1/2017,FOOD & BEVERAGE,50.76,2017,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0496024,HAYES JONATHAN H.,3/6/2017,3/6/2017,FOOD & BEVERAGE,54.1,2017,HAYES JONATHAN H.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0496032,HAYES JONATHAN H.,3/3/2017,3/3/2017,FOOD & BEVERAGE,310.06,2017,HAYES JONATHAN H.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/27/2017,AP,E0498944,HAYES JONATHAN H.,3/8/2017,3/8/2017,FOOD & BEVERAGE,67.94,2017,HAYES JONATHAN H.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/27/2017,AP,E0499445,HAYES JONATHAN H.,3/1/2017,3/17/2017,FOOD & BEVERAGE,160.63,2017,HAYES JONATHAN H.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/13/2017,2/13/2017,FOOD & BEVERAGE,74.13,2017,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/17/2017,2/17/2017,FOOD & BEVERAGE,30.51,2017,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0476977,HAYES JONATHAN H.,1/2/2017,1/2/2017,FOOD & BEVERAGE,120.38,2017,HAYES JONATHAN H.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0476976,CITIBANK GOV CARD SERVICE,12/15/2016,12/22/2016,FOOD & BEVERAGE,387.59,2016,CITIBANK GOV CARD SERVICE
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/19/2016,12/19/2016,FOOD & BEVERAGE,37.47,2016,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/20/2016,12/20/2016,FOOD & BEVERAGE,20.32,2016,BOISE CASCADE COMPANY
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478458,CITIBANK GOV CARD SERVICE,12/3/2016,12/3/2016,FOOD & BEVERAGE,200,2016,CITIBANK GOV CARD SERVICE
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478458,CITIBANK GOV CARD SERVICE,12/4/2016,12/4/2016,FOOD & BEVERAGE,209,2016,CITIBANK GOV CARD SERVICE
F000372,HON. RODNEY P. FRELINGHUYSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/15/2017,AP,E0487689,SILVESTRI STEVEN A.,1/27/2017,1/27/2017,FOOD & BEVERAGE,8.55,2017,SILVESTRI STEVEN A.
F000372,HON. RODNEY P. FRELINGHUYSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,E0501419,HAMILTON JOAN,2/25/2017,2/25/2017,FOOD & BEVERAGE,157.23,2017,HAMILTON JOAN
F000372,HON. RODNEY P. FRELINGHUYSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473310,HAMILTON JOAN,11/5/2016,11/11/2016,FOOD & BEVERAGE,414.37,2016,HAMILTON JOAN
F000455,HON. MARCIA FUDGE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-BOB EVANS REST,1/29/2017,2/28/2017,FOOD & BEVERAGE,180,2017,CITI PCARD-BOB EVANS REST
F000455,HON. MARCIA FUDGE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/26/2017,AP,901082,BROWN ARIELLA J,12/3/2016,12/9/2016,FOOD & BEVERAGE,28.61,2016,BROWN ARIELLA J
F000455,HON. MARCIA FUDGE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,E0480327,DAVES SUPERMARKET INC,12/15/2016,12/15/2016,FOOD & BEVERAGE,108.06,2016,DAVES SUPERMARKET INC
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-TARGET,1/3/2017,1/28/2017,FOOD & BEVERAGE,117.98,2017,CITI PCARD-TARGET
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-BJ WHOLESALE,1/29/2017,2/28/2017,FOOD & BEVERAGE,29.58,2017,CITI PCARD-BJ WHOLESALE
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FOOD LION,1/29/2017,2/28/2017,FOOD & BEVERAGE,11.45,2017,CITI PCARD-FOOD LION
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/10/2017,AP,E0476554,MCMILLIAN CATHERINE C.,12/7/2016,12/7/2016,FOOD & BEVERAGE,112.84,2016,MCMILLIAN CATHERINE C.
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0476525,HAMADA JAMES K.,10/6/2016,10/6/2016,FOOD & BEVERAGE,22.03,2016,HAMADA JAMES K.
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-BJ WHOLESALE,11/29/2016,12/28/2016,FOOD & BEVERAGE,36.46,2016,CITI PCARD-BJ WHOLESALE
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-FOOD LION,11/29/2016,12/28/2016,FOOD & BEVERAGE,6.87,2016,CITI PCARD-FOOD LION
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-COSTCO WHSE,12/29/2016,1/2/2017,FOOD & BEVERAGE,300.47,2017,CITI PCARD-COSTCO WHSE
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,1/12/2017,1/12/2017,FOOD & BEVERAGE,49.62,2017,BOISE CASCADE COMPANY
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/24/2017,AP,E0485175,LEFEVERS SARA R.,1/24/2017,1/31/2017,FOOD & BEVERAGE,45.44,2017,LEFEVERS SARA R.
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/28/2017,AP,E0485109,RAKAS LAURA A.,1/9/2017,1/9/2017,FOOD & BEVERAGE,23,2017,RAKAS LAURA A.
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/14/2017,AP,E0494595,LEFEVERS SARA R.,2/6/2017,2/23/2017,FOOD & BEVERAGE,81.16,2017,LEFEVERS SARA R.
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-SAMS CLUB,1/29/2017,2/28/2017,FOOD & BEVERAGE,72.52,2017,CITI PCARD-SAMS CLUB
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-TARGET,1/29/2017,2/28/2017,FOOD & BEVERAGE,48.99,2017,CITI PCARD-TARGET
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/22/2017,AP,E0496219,MCARDLE DAWN B,2/14/2017,2/18/2017,FOOD & BEVERAGE,24.99,2017,MCARDLE DAWN B
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/14/2017,2/14/2017,FOOD & BEVERAGE,33.04,2017,BOISE CASCADE COMPANY
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/17/2017,2/17/2017,FOOD & BEVERAGE,65.35,2017,BOISE CASCADE COMPANY
G000579,HON. MIKE GALLAGHER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,906541,READYREFRESH BY NESTLE,12/27/2016,1/26/2017,FOOD & BEVERAGE,42.33,2017,READYREFRESH BY NESTLE
G000574,HON. RUBEN GALLEGO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/13/2017,1/13/2017,FOOD & BEVERAGE,136.96,2017,BOISE CASCADE COMPANY
G000574,HON. RUBEN GALLEGO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/25/2017,1/25/2017,FOOD & BEVERAGE,3.74,2017,BOISE CASCADE COMPANY
G000574,HON. RUBEN GALLEGO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,2/28/2017,2/28/2017,FOOD & BEVERAGE,51.08,2017,BOISE CASCADE COMPANY
G000574,HON. RUBEN GALLEGO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/22/2017,2/22/2017,FOOD & BEVERAGE,77.35,2017,BOISE CASCADE COMPANY
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,1/10/2017,1/10/2017,FOOD & BEVERAGE,43.08,2017,BOISE CASCADE COMPANY
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/26/2017,1/26/2017,FOOD & BEVERAGE,43.97,2017,BOISE CASCADE COMPANY
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-SAFEWAY STORE,1/29/2017,2/28/2017,FOOD & BEVERAGE,37.85,2017,CITI PCARD-SAFEWAY STORE
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,3/10/2017,3/10/2017,FOOD & BEVERAGE,16.85,2017,BOISE CASCADE COMPANY
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,E0499851,EVALLE JOHN G.,2/12/2017,2/24/2017,FOOD & BEVERAGE,99.95,2017,EVALLE JOHN G.
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478507,GIBBS DEBBI,10/8/2016,10/13/2016,FOOD & BEVERAGE,116.36,2016,GIBBS DEBBI
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,E0488107,EVALLE JOHN G.,12/3/2016,12/3/2016,FOOD & BEVERAGE,151.79,2016,EVALLE JOHN G.
G000548,HON. SCOTT GARRETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0481661,HON. SCOTT GARRETT,12/20/2016,12/20/2016,FOOD & BEVERAGE,57.62,2016,HON. SCOTT GARRETT
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,900641,KIKO JENNIFER M.,1/9/2017,1/17/2017,FOOD & BEVERAGE,34.43,2017,KIKO JENNIFER M.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/9/2017,AP,901324,ROSS TIMOTHY W.,1/6/2017,1/6/2017,FOOD & BEVERAGE,65,2017,ROSS TIMOTHY W.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-WAL-MART,1/3/2017,1/28/2017,FOOD & BEVERAGE,121.99,2017,CITI PCARD-WAL-MART
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/28/2017,AP,902452,DILWORTH RYAN P.,1/10/2017,1/26/2017,FOOD & BEVERAGE,103,2017,DILWORTH RYAN P.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,902453,KIKO JENNIFER M.,1/20/2017,2/1/2017,FOOD & BEVERAGE,161.01,2017,KIKO JENNIFER M.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/15/2017,AP,907176,DILWORTH RYAN P.,2/7/2017,2/22/2017,FOOD & BEVERAGE,38,2017,DILWORTH RYAN P.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/15/2017,AP,907581,KIKO JENNIFER M.,2/10/2017,2/23/2017,FOOD & BEVERAGE,67.04,2017,KIKO JENNIFER M.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/3/2017,AP,E0470413,ROSS TIMOTHY W.,10/28/2016,10/28/2016,FOOD & BEVERAGE,25,2016,ROSS TIMOTHY W.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/3/2017,AP,E0470413,ROSS TIMOTHY W.,12/8/2016,12/8/2016,FOOD & BEVERAGE,20,2016,ROSS TIMOTHY W.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/4/2017,AP,E0470417,KIKO JENNIFER M.,11/28/2016,11/28/2016,FOOD & BEVERAGE,15,2016,KIKO JENNIFER M.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0480348,DILWORTH RYAN P.,12/13/2016,12/13/2016,FOOD & BEVERAGE,21,2016,DILWORTH RYAN P.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,902354,ROSS TIMOTHY W.,11/14/2016,11/14/2016,FOOD & BEVERAGE,50,2016,ROSS TIMOTHY W.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0480345,KIKO JENNIFER M.,12/12/2016,12/13/2016,FOOD & BEVERAGE,21.17,2016,KIKO JENNIFER M.
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/2/2017,AP,902451,AVI FOOD SYSTEMS INC,8/24/2016,8/24/2016,FOOD & BEVERAGE,109,2016,AVI FOOD SYSTEMS INC
G000564,HON. CHRISTOPHER P. GIBSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HANNAFORD,11/29/2016,12/28/2016,FOOD & BEVERAGE,16.58,2016,CITI PCARD-HANNAFORD
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0482563,COHEN CHELSEA M.,1/9/2017,1/9/2017,FOOD & BEVERAGE,75,2017,COHEN CHELSEA M.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/31/2017,AP,E0482679,LONGVIEW CHAMBER OF COMMERCE,1/6/2017,1/6/2017,FOOD & BEVERAGE,85,2017,LONGVIEW CHAMBER OF COMMERCE
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/15/2017,AP,E0487466,KARTYE MELINDA D.,1/19/2017,1/19/2017,FOOD & BEVERAGE,20,2017,KARTYE MELINDA D.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-JASON'S DELI TYL,1/3/2017,1/28/2017,FOOD & BEVERAGE,93.36,2017,CITI PCARD-JASON'S DELI TYL
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,E0489020,COHEN CHELSEA M.,1/17/2017,1/17/2017,FOOD & BEVERAGE,18.37,2017,COHEN CHELSEA M.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,E0489363,GREATER AREA HAWKINS CHAMBER OF COMMERCE,1/31/2017,1/31/2017,FOOD & BEVERAGE,15,2017,GREATER AREA HAWKINS CHAMBER OF COMMERCE
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-WAL-MART,1/29/2017,2/28/2017,FOOD & BEVERAGE,87.03,2017,CITI PCARD-WAL-MART
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,E0501669,VOGT LORI A.,3/6/2017,3/6/2017,FOOD & BEVERAGE,77.51,2017,VOGT LORI A.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473640,VOGT LORI A.,11/28/2016,11/28/2016,FOOD & BEVERAGE,3.06,2016,VOGT LORI A.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473643,VOGT LORI A.,11/28/2016,11/28/2016,FOOD & BEVERAGE,104.32,2016,VOGT LORI A.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/4/2017,AP,E0473631,VOGT LORI A.,12/5/2016,12/5/2016,FOOD & BEVERAGE,10.65,2016,VOGT LORI A.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/5/2017,AP,E0474750,VOGT LORI A.,11/13/2016,11/13/2016,FOOD & BEVERAGE,2.65,2016,VOGT LORI A.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0475283,VOGT LORI A.,4/11/2016,4/11/2016,FOOD & BEVERAGE,45.02,2016,VOGT LORI A.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/6/2017,AP,E0475293,VOGT LORI A.,6/29/2016,6/29/2016,FOOD & BEVERAGE,13.85,2016,VOGT LORI A.
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0475139,HAIR CONNIE,12/13/2016,12/13/2016,FOOD & BEVERAGE,90.9,2016,HAIR CONNIE
G000552,HON. LOUIE GOHMERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0475281,VOGT LORI A.,4/11/2016,4/11/2016,FOOD & BEVERAGE,16.36,2016,VOGT LORI A.
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478589,CAPITOL  HOST,1/4/2017,1/4/2017,FOOD & BEVERAGE,456.26,2017,CAPITOL  HOST
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0483155,CAPITOL  HOST,1/19/2017,1/19/2017,FOOD & BEVERAGE,261.72,2017,CAPITOL  HOST
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0483163,CAPITOL  HOST,1/19/2017,1/19/2017,FOOD & BEVERAGE,225.47,2017,CAPITOL  HOST
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,E0491316,AAA COFFEE BREAK SERVICE,2/3/2017,2/3/2017,FOOD & BEVERAGE,124.7,2017,AAA COFFEE BREAK SERVICE
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,E0491318,AAA COFFEE BREAK SERVICE,1/10/2017,1/10/2017,FOOD & BEVERAGE,154.4,2017,AAA COFFEE BREAK SERVICE
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,E0491319,AAA COFFEE BREAK SERVICE,1/10/2017,1/10/2017,FOOD & BEVERAGE,13.9,2017,AAA COFFEE BREAK SERVICE
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0497182,AAA COFFEE BREAK SERVICE,3/6/2017,3/6/2017,FOOD & BEVERAGE,154.4,2017,AAA COFFEE BREAK SERVICE
G000289,HON. BOB GOODLATTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0484242,LOOPE EMILEE M.,1/16/2017,1/16/2017,FOOD & BEVERAGE,8.27,2017,LOOPE EMILEE M.
G000289,HON. BOB GOODLATTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/7/2017,AP,E0484292,VAN ALLEN AARON S.,1/31/2017,1/31/2017,FOOD & BEVERAGE,28.49,2017,VAN ALLEN AARON S.
G000289,HON. BOB GOODLATTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/9/2017,AP,E0494102,LARKIN PETER S.,2/13/2017,2/13/2017,FOOD & BEVERAGE,43,2017,LARKIN PETER S.
